Level,Hp,Attack,Defense,累積経験値,次レベルまでの経験値
1,15,5,8,0,10
2,17,6,9,10,11
3,18,6,10,21,12
4,20,7,11,33,13
5,22,7,12,46,15
6,24,8,13,61,16
7,27,9,14,77,18
8,29,10,16,95,19
9,32,11,17,114,21
10,35,12,19,136,24
11,39,13,21,159,26
12,43,14,23,185,29
13,47,16,25,214,31
14,52,17,28,245,35
15,57,19,30,280,38
16,63,21,33,318,42
17,69,23,37,359,46
18,76,25,40,405,51
19,83,28,44,456,56
20,92,31,49,512,61
21,101,34,54,573,67
22,111,37,59,640,74
23,122,41,65,714,81
24,134,45,72,795,90
25,148,49,79,885,98
26,163,54,87,983,108
27,179,60,95,1092,119
28,197,66,105,1211,131
29,216,72,115,1342,144
30,238,79,127,1486,159
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
